Year,Age,Female,Male,Total
1956,0,0.037714,0.044062,0.040968
1956,1,0.005194,0.005467,0.005334
1956,2,0.004012,0.004389,0.004205
1956,3,0.003196,0.003368,0.003284
1956,4,0.002504,0.002661,0.002584
1956,5,0.001758,0.002006,0.001885
1956,6,0.001292,0.001596,0.001447
1956,7,0.00089,0.00126,0.001079
1956,8,0.000732,0.000995,0.000866
1956,9,0.000659,0.000873,0.000768
1956,10,0.000613,0.000788,0.000702
1956,11,0.000493,0.000673,0.000584
1956,12,0.000547,0.000641,0.000594
1956,13,0.000564,0.000661,0.000613
1956,14,0.000575,0.000751,0.000664
1956,15,0.000669,0.000865,0.000768
1956,16,0.000862,0.001089,0.000976
1956,17,0.000974,0.001329,0.001152
1956,18,0.001173,0.001656,0.001415
1956,19,0.001434,0.002134,0.001785
1956,20,0.001538,0.002273,0.001906
1956,21,0.00179,0.002567,0.002178
1956,22,0.001788,0.002637,0.002212
1956,23,0.00201,0.002718,0.002364
1956,24,0.002004,0.002855,0.002429
1956,25,0.002026,0.002667,0.002346
1956,26,0.002077,0.002628,0.002352
1956,27,0.002,0.002631,0.002315
1956,28,0.002179,0.002705,0.002441
1956,29,0.002181,0.002896,0.002535
1956,30,0.002383,0.002623,0.0025
1956,31,0.002294,0.002612,0.002447
1956,32,0.002479,0.002953,0.002699
1956,33,0.002517,0.002927,0.0027
1956,34,0.00272,0.003011,0.002848
1956,35,0.002655,0.003206,0.002896
1956,36,0.002782,0.003455,0.00308
1956,37,0.002827,0.003485,0.003123
1956,38,0.002978,0.003439,0.003187
1956,39,0.003102,0.004021,0.003523
1956,40,0.003152,0.00403,0.003558
1956,41,0.003571,0.00443,0.003971
1956,42,0.003558,0.004634,0.004062
1956,43,0.00389,0.004857,0.004343
1956,44,0.004125,0.005432,0.00474
1956,45,0.00444,0.006185,0.005268
1956,46,0.004873,0.006628,0.005714
1956,47,0.005225,0.007249,0.006203
1956,48,0.005569,0.007621,0.006571
1956,49,0.005907,0.008342,0.00711
1956,50,0.006845,0.009408,0.008119
1956,51,0.007242,0.0103,0.008765
1956,52,0.007668,0.011264,0.009467
1956,53,0.008361,0.012826,0.010595
1956,54,0.008932,0.013569,0.011254
1956,55,0.009577,0.014745,0.012168
1956,56,0.010358,0.015658,0.013018
1956,57,0.011168,0.01739,0.014289
1956,58,0.013652,0.020483,0.017066
1956,59,0.013232,0.021458,0.017326
1956,60,0.015136,0.023511,0.019284
1956,61,0.016202,0.025832,0.020962
1956,62,0.017545,0.028747,0.023059
1956,63,0.020067,0.03131,0.025554
1956,64,0.02203,0.034257,0.027946
1956,65,0.023646,0.036864,0.029968
1956,66,0.026632,0.042583,0.03417
1956,67,0.030417,0.045134,0.037339
1956,68,0.032607,0.047773,0.039657
1956,69,0.039077,0.056666,0.047069
1956,70,0.041334,0.061559,0.050336
1956,71,0.047147,0.067935,0.056215
1956,72,0.051735,0.075205,0.061735
1956,73,0.056379,0.081639,0.066908
1956,74,0.063614,0.09055,0.074702
1956,75,0.070349,0.099813,0.082304
1956,76,0.076686,0.10623,0.08843
1956,77,0.086784,0.116478,0.098385
1956,78,0.092879,0.128109,0.106333
1956,79,0.10468,0.139452,0.117653
1956,80,0.118239,0.152029,0.130684
1956,81,0.12805,0.165695,0.141574
1956,82,0.139889,0.178045,0.153238
1956,83,0.156031,0.195996,0.169813
1956,84,0.17602,0.216166,0.18959
1956,85,0.180038,0.218488,0.192529
1956,86,0.200695,0.248837,0.215755
1956,87,0.21953,0.26787,0.234234
1956,88,0.249647,0.304261,0.265709
1956,89,0.270293,0.336429,0.288955
1956,90,0.290643,0.326046,0.300226
1957,0,0.0361,0.042945,0.039609
1957,1,0.005114,0.005454,0.005288
1957,2,0.003635,0.003995,0.003819
1957,3,0.002928,0.003081,0.003006
1957,4,0.002226,0.002425,0.002328
1957,5,0.001757,0.001962,0.001862
1957,6,0.001226,0.00145,0.00134
1957,7,0.00091,0.001182,0.001049
1957,8,0.000724,0.000996,0.000863
1957,9,0.000649,0.000865,0.000759
1957,10,0.000599,0.000753,0.000677
1957,11,0.000527,0.000605,0.000567
1957,12,0.000591,0.000687,0.000639
1957,13,0.000613,0.00071,0.000662
1957,14,0.000633,0.000762,0.000698
1957,15,0.000693,0.000857,0.000776
1957,16,0.000897,0.001232,0.001066
1957,17,0.000987,0.001386,0.001187
1957,18,0.001204,0.001686,0.001445
1957,19,0.001413,0.002101,0.001757
1957,20,0.00159,0.002244,0.001917
1957,21,0.001606,0.002276,0.001941
1957,22,0.001872,0.002583,0.002227
1957,23,0.001937,0.002732,0.002334
1957,24,0.002032,0.002827,0.002428
1957,25,0.002034,0.002684,0.002359
1957,26,0.001981,0.002561,0.002271
1957,27,0.002084,0.002583,0.002333
1957,28,0.002105,0.002593,0.002348
1957,29,0.002278,0.002679,0.002478
1957,30,0.00238,0.002615,0.002496
1957,31,0.002255,0.00269,0.002468
