Year,Age,Female,Male,Total
1956,0,0.016853,0.022382,0.019688
1956,1,0.002387,0.002826,0.002612
1956,2,0.001188,0.001409,0.001301
1956,3,0.000821,0.001114,0.000972
1956,4,0.000688,0.000872,0.000783
1956,5,0.000587,0.000756,0.000674
1956,6,0.000462,0.000718,0.000593
1956,7,0.000431,0.000668,0.000553
1956,8,0.00041,0.000593,0.000504
1956,9,0.000318,0.000482,0.000402
1956,10,0.000307,0.000469,0.00039
1956,11,0.000321,0.000399,0.000361
1956,12,0.000307,0.000421,0.000365
1956,13,0.000315,0.000389,0.000353
1956,14,0.000354,0.000399,0.000377
1956,15,0.000256,0.000524,0.000393
1956,16,0.000281,0.000617,0.000452
1956,17,0.00033,0.000766,0.000552
1956,18,0.000382,0.000831,0.000611
1956,19,0.000481,0.000802,0.000644
1956,20,0.000428,0.00088,0.000659
1956,21,0.000383,0.001012,0.000703
1956,22,0.000393,0.001044,0.000724
1956,23,0.000466,0.000982,0.000728
1956,24,0.000613,0.00103,0.000824
1956,25,0.000616,0.001069,0.000845
1956,26,0.000554,0.001024,0.00079
1956,27,0.000468,0.001,0.000734
1956,28,0.000524,0.000993,0.000758
1956,29,0.000548,0.001034,0.00079
1956,30,0.000665,0.001083,0.000872
1956,31,0.000846,0.001095,0.000969
1956,32,0.000913,0.001136,0.001022
1956,33,0.00092,0.001033,0.000976
1956,34,0.000882,0.001188,0.001032
1956,35,0.001149,0.001298,0.001222
1956,36,0.0012,0.001353,0.001276
1956,37,0.001254,0.001789,0.001518
1956,38,0.001365,0.001667,0.001514
1956,39,0.00155,0.001732,0.00164
1956,40,0.001782,0.002002,0.00189
1956,41,0.001792,0.002177,0.001982
1956,42,0.001766,0.002277,0.002017
1956,43,0.00195,0.002507,0.002223
1956,44,0.002281,0.003026,0.002645
1956,45,0.002618,0.00336,0.00298
1956,46,0.002701,0.003364,0.003024
1956,47,0.002893,0.003832,0.00335
1956,48,0.003343,0.004532,0.003921
1956,49,0.003699,0.005043,0.004351
1956,50,0.003936,0.005626,0.004754
1956,51,0.004076,0.00625,0.005131
1956,52,0.004269,0.00701,0.0056
1956,53,0.004419,0.007596,0.005962
1956,54,0.004984,0.008219,0.006548
1956,55,0.005712,0.009641,0.007601
1956,56,0.006291,0.010779,0.008446
1956,57,0.007394,0.012108,0.009659
