Year,Age,Female,Male,Total
1956,0,0.016898,0.023387,0.02022
1956,1,0.002588,0.003509,0.003059
1956,2,0.001041,0.001753,0.001405
1956,3,0.000868,0.001156,0.001016
1956,4,0.000751,0.000704,0.000726
1956,5,0.000606,0.000734,0.000672
1956,6,0.00049,0.000561,0.000526
1956,7,0.000318,0.000534,0.000429
1956,8,0.000354,0.000637,0.0005
1956,9,0.000311,0.000607,0.000462
1956,10,0.000221,0.000536,0.000383
1956,11,0.000223,0.000467,0.000349
1956,12,0.000234,0.000391,0.000315
1956,13,0.000323,0.000347,0.000335
1956,14,0.000419,0.000488,0.000454
1956,15,0.000375,0.000675,0.000528
1956,16,0.000412,0.000724,0.000571
1956,17,0.000446,0.000907,0.00068
1956,18,0.000265,0.001071,0.000674
1956,19,0.000352,0.001183,0.000776
1956,20,0.000389,0.001245,0.000826
1956,21,0.000234,0.001123,0.000688
1956,22,0.000341,0.001119,0.000741
1956,23,0.000428,0.001476,0.000967
1956,24,0.000436,0.001414,0.000936
1956,25,0.000412,0.00105,0.000738
1956,26,0.000464,0.00119,0.000836
1956,27,0.00076,0.001228,0.001
1956,28,0.000901,0.001014,0.000959
1956,29,0.000682,0.00088,0.000784
1956,30,0.000767,0.001142,0.000958
1956,31,0.000767,0.001369,0.001075
1956,32,0.000711,0.001325,0.001024
1956,33,0.000839,0.001419,0.001132
1956,34,0.000824,0.001438,0.001131
1956,35,0.000963,0.00138,0.001172
1956,36,0.001134,0.001448,0.001292
1956,37,0.001381,0.00156,0.001471
1956,38,0.001218,0.001676,0.001447
1956,39,0.001045,0.001881,0.001465
1956,40,0.00143,0.002121,0.001775
1956,41,0.001674,0.002039,0.001857
1956,42,0.001697,0.002344,0.002023
1956,43,0.001758,0.002622,0.002192
1956,44,0.001756,0.002893,0.002327
1956,45,0.001892,0.00323,0.002562
1956,46,0.002117,0.003342,0.002728
1956,47,0.002303,0.003827,0.003064
1956,48,0.003044,0.004454,0.003743
1956,49,0.003863,0.005067,0.004454
1956,50,0.004085,0.005856,0.00495
1956,51,0.004085,0.006499,0.005257
1956,52,0.003997,0.00617,0.00505
1956,53,0.00438,0.006747,0.00553
1956,54,0.004958,0.008192,0.006528
1956,55,0.005217,0.0087,0.0069
1956,56,0.005763,0.009407,0.007515
1956,57,0.006497,0.010444,0.008394
1956,58,0.006664,0.011525,0.008998
1956,59,0.007893,0.013488,0.010573
1956,60,0.009086,0.014868,0.011866
1956,61,0.009208,0.015404,0.012183
1956,62,0.010361,0.017111,0.013582
1956,63,0.011234,0.019123,0.014982
1956,64,0.012654,0.020894,0.016546
1956,65,0.013947,0.022844,0.018108
1956,66,0.015783,0.024694,0.019894
1956,67,0.018694,0.027375,0.022668
1956,68,0.020146,0.029368,0.024395
1956,69,0.023695,0.030915,0.027012
1956,70,0.028658,0.035273,0.031647
1956,71,0.031864,0.041306,0.036057
1956,72,0.034943,0.04571,0.039708
1956,73,0.03815,0.048062,0.042543
1956,74,0.041505,0.053046,0.046619
1956,75,0.049287,0.058441,0.053327
1956,76,0.056759,0.065857,0.060821
1956,77,0.060069,0.072112,0.065449
1956,78,0.067818,0.081776,0.074031
1956,79,0.078009,0.090084,0.083341
1956,80,0.087575,0.093692,0.090255
1956,81,0.096211,0.107037,0.100956
1956,82,0.105557,0.121923,0.112667
1956,83,0.119795,0.129411,0.123932
1956,84,0.129622,0.142805,0.13524
1956,85,0.139493,0.161836,0.148809
1956,86,0.158528,0.176944,0.166047
1956,87,0.167987,0.199279,0.180406
1956,88,0.187947,0.213001,0.197885
1956,89,0.210123,0.228685,0.217442
1956,90,0.229676,0.266585,0.243954
1957,0,0.016588,0.021886,0.019291
1957,1,0.002911,0.003053,0.002984
1957,2,0.001014,0.001331,0.001176
1957,3,0.000672,0.001047,0.000863
1957,4,0.000584,0.000934,0.000764
1957,5,0.000437,0.001,0.000727
1957,6,0.000329,0.000733,0.000537
1957,7,0.000373,0.000578,0.000478
1957,8,0.000301,0.000614,0.000463
1957,9,0.00029,0.000623,0.000462
1957,10,0.000217,0.000472,0.000347
1957,11,0.00011,0.000416,0.000267
1957,12,0.00017,0.00053,0.000355
1957,13,0.000306,0.000763,0.000541
1957,14,0.000444,0.000808,0.00063
1957,15,0.000485,0.00085,0.000671
1957,16,0.000422,0.000991,0.000712
1957,17,0.000275,0.001012,0.000651
1957,18,0.000353,0.001342,0.000856
1957,19,0.000362,0.001073,0.000724
1957,20,0.000202,0.001017,0.000619
1957,21,0.000443,0.001401,0.000931
1957,22,0.000731,0.001354,0.001049
1957,23,0.000582,0.001302,0.000952
