Year,Age,Female,Male,Total
1956,0,0.015637,0.019452,0.017606
1956,1,0.001205,0.00157,0.001393
1956,2,0.001012,0.001211,0.001114
1956,3,0.000456,0.001021,0.000747
1956,4,0.000635,0.000672,0.000654
1956,5,0.00045,0.0006,0.000527
1956,6,0.000392,0.000723,0.000562
1956,7,0.000389,0.000871,0.000635
1956,8,0.000198,0.000551,0.000379
1956,9,0.000288,0.000426,0.000359
1956,10,0.000252,0.000344,0.0003
1956,11,0.000237,0.000373,0.000307
1956,12,0.00031,0.000466,0.00039
1956,13,0.000227,0.000418,0.000325
1956,14,0.000389,0.000392,0.00039
1956,15,0.000285,0.000844,0.00057
1956,16,0.000601,0.000953,0.00078
1956,17,0.000413,0.001204,0.000814
1956,18,0.000677,0.001142,0.000913
1956,19,0.000437,0.001131,0.000787
1956,20,0.000537,0.001226,0.000883
1956,21,0.000475,0.001154,0.000816
1956,22,0.000573,0.001042,0.000808
1956,23,0.000444,0.001276,0.000862
1956,24,0.000452,0.001146,0.0008
1956,25,0.000677,0.001196,0.000937
1956,26,0.000507,0.000965,0.000736
1956,27,0.000604,0.001264,0.000935
1956,28,0.000579,0.001272,0.000927
1956,29,0.000666,0.001559,0.001116
1956,30,0.000548,0.001598,0.001077
1956,31,0.000809,0.001439,0.001127
1956,32,0.000942,0.001908,0.001429
1956,33,0.001124,0.001554,0.001341
1956,34,0.001192,0.001473,0.001334
1956,35,0.001271,0.001677,0.001476
1956,36,0.001062,0.001439,0.001253
1956,37,0.001204,0.00169,0.001449
1956,38,0.001228,0.002203,0.00172
1956,39,0.001715,0.002284,0.002003
1956,40,0.001451,0.002302,0.00188
1956,41,0.001468,0.002361,0.001917
1956,42,0.002322,0.002792,0.002559
1956,43,0.001919,0.002636,0.002281
1956,44,0.002361,0.003589,0.002982
1956,45,0.002684,0.003521,0.003108
1956,46,0.002846,0.004163,0.003511
1956,47,0.00264,0.003992,0.003318
1956,48,0.003292,0.004478,0.003886
1956,49,0.003755,0.004749,0.004252
1956,50,0.003987,0.005209,0.004593
1956,51,0.003919,0.006296,0.005094
1956,52,0.005138,0.007097,0.006106
1956,53,0.004648,0.007642,0.006122
1956,54,0.005747,0.008324,0.007016
1956,55,0.005693,0.009734,0.007677
1956,56,0.007114,0.010552,0.008791
1956,57,0.007006,0.010958,0.00893
1956,58,0.008289,0.012281,0.010232
1956,59,0.008988,0.013236,0.011053
1956,60,0.009648,0.015019,0.012241
1956,61,0.011882,0.016461,0.014073
1956,62,0.011315,0.01906,0.015005
1956,63,0.01462,0.020906,0.017609
1956,64,0.015234,0.022647,0.018738
1956,65,0.017541,0.023088,0.020146
1956,66,0.02022,0.025415,0.022644
1956,67,0.022506,0.030827,0.026395
1956,68,0.025752,0.033996,0.02961
1956,69,0.02716,0.03513,0.030883
1956,70,0.032152,0.038559,0.035148
1956,71,0.034643,0.045007,0.039481
1956,72,0.041406,0.049015,0.044931
1956,73,0.045423,0.051759,0.048343
1956,74,0.050263,0.062969,0.056145
1956,75,0.057069,0.069549,0.062824
1956,76,0.063304,0.072825,0.067683
1956,77,0.070738,0.080195,0.075067
1956,78,0.07911,0.08896,0.083634
1956,79,0.086754,0.096036,0.091054
1956,80,0.101072,0.116357,0.108111
1956,81,0.107429,0.127469,0.116545
1956,82,0.12038,0.132301,0.125764
1956,83,0.143302,0.153846,0.148046
1956,84,0.153474,0.16994,0.160849
1956,85,0.164034,0.194454,0.177546
1956,86,0.175506,0.208026,0.189756
1956,87,0.20162,0.209911,0.205153
1956,88,0.224428,0.267662,0.242296
1956,89,0.235602,0.240588,0.23764
1956,90,0.262808,0.300898,0.278187
1957,0,0.015765,0.01994,0.017914
1957,1,0.001092,0.001737,0.001425
1957,2,0.000789,0.000989,0.000892
1957,3,0.000583,0.000971,0.000783
1957,4,0.000493,0.000895,0.0007
1957,5,0.000384,0.000617,0.000504
1957,6,0.00043,0.000528,0.000481
1957,7,0.000427,0.000756,0.000596
1957,8,0.000355,0.000805,0.000585
1957,9,0.000264,0.000519,0.000395
1957,10,0.000288,0.000502,0.000397
1957,11,0.00041,0.000524,0.000468
1957,12,0.000236,0.000478,0.00036
1957,13,0.000195,0.000543,0.000373
1957,14,0.000419,0.000619,0.000521
1957,15,0.000408,0.000596,0.000504
1957,16,0.000438,0.000927,0.000687
1957,17,0.000256,0.00095,0.000609
1957,18,0.000667,0.001176,0.000925
1957,19,0.000447,0.001222,0.000839
1957,20,0.000364,0.001418,0.000894
1957,21,0.000463,0.000936,0.000701
1957,22,0.000731,0.00116,0.000947
1957,23,0.000498,0.001196,0.000849
1957,24,0.000536,0.001033,0.000786
1957,25,0.000293,0.001583,0.000942
1957,26,0.00061,0.001167,0.00089
1957,27,0.00077,0.000981,0.000876
1957,28,0.000733,0.001172,0.000954
1957,29,0.000642,0.001393,0.00102
1957,30,0.000852,0.001596,0.001227
1957,31,0.000608,0.001516,0.001066
1957,32,0.000888,0.001456,0.001174
1957,33,0.000961,0.001698,0.001333
1957,34,0.00099,0.001422,0.001208
1957,35,0.001156,0.001892,0.001527
1957,36,0.000983,0.001478,0.001233
1957,37,0.000977,0.001741,0.001363
1957,38,0.001204,0.001967,0.001589
1957,39,0.0016,0.002089,0.001847
1957,40,0.001774,0.002097,0.001937
1957,41,0.001569,0.002381,0.001978
1957,42,0.001902,0.002327,0.002116
1957,43,0.002139,0.002723,0.002434
1957,44,0.002254,0.003473,0.00287
1957,45,0.002254,0.00349,0.002879
1957,46,0.002503,0.003913,0.003217
1957,47,0.002963,0.003867,0.00342
1957,48,0.003664,0.004373,0.00402
1957,49,0.00372,0.005159,0.00444
1957,50,0.003922,0.006328,0.005123
1957,51,0.0042,0.006045,0.005115
1957,52,0.004703,0.006873,0.005775
1957,53,0.005474,0.007398,0.006424
1957,54,0.005133,0.008855,0.006963
1957,55,0.006353,0.008435,0.007376
1957,56,0.00714,0.010482,0.008777
1957,57,0.007546,0.01097,0.009214
1957,58,0.008648,0.012368,0.010455
1957,59,0.008784,0.015413,0.012005
1957,60,0.010324,0.015201,0.012689
1957,61,0.01128,0.017877,0.014456
1957,62,0.012984,0.018659,0.015692
1957,63,0.014536,0.021575,0.017879
1957,64,0.01623,0.024046,0.019931
1957,65,0.016861,0.025499,0.020929
1957,66,0.019994,0.027837,0.023665
1957,67,0.022774,0.029497,0.025901
1957,68,0.023814,0.034347,0.028717
1957,69,0.029289,0.035394,0.032133
1957,70,0.032415,0.039285,0.035612
1957,71,0.038881,0.043586,0.041072
1957,72,0.038384,0.051246,0.044362
1957,73,0.044067,0.053269,0.048306
1957,74,0.051722,0.060263,0.05564
1957,75,0.059481,0.067329,0.063094
1957,76,0.066813,0.073699,0.069976
1957,77,0.074341,0.087523,0.080378
