Country,Sex,e0(2020),NB04 CI,NB07 CI,Ens CI,NB04 Med,NB07 Med,Ens Med,Total CI Reduction
Switzerland,Male,80.26,7.73,3.77,3.42,82.01,82.04,82.1,55.8%
Switzerland,Female,83.58,7.88,3.15,3.24,86.04,85.99,85.41,58.8%
Sweden,Male,79.94,7.75,3.8,3.45,81.69,81.72,81.79,55.5%
Sweden,Female,82.93,8.35,3.4,3.47,85.55,85.49,84.86,58.5%
Norway,Male,80.57,7.42,3.64,3.3,82.25,82.28,82.35,55.5%
Norway,Female,83.27,8.04,3.27,3.34,85.79,85.73,85.13,58.5%
West Germany,Male,78.28,8.85,4.36,3.95,80.28,80.32,80.4,55.4%
West Germany,Female,82.2,9.13,3.71,3.79,85.06,84.99,84.31,58.5%
Netherlands,Male,79.14,8.21,4.03,3.65,80.99,81.02,81.1,55.6%
Netherlands,Female,81.96,9.35,3.81,3.88,84.89,84.82,84.12,58.5%
Japan,Male,80.44,7.62,3.74,3.39,82.16,82.19,82.26,55.5%
Japan,Female,84.89,6.57,2.6,2.69,86.94,86.9,86.42,59.0%
