name,lambda_coh,lambda_mono,rmse,rmse_male,rmse_female,mean_abs_specific,frac_pos_dkt,n_epochs
Mono=1.0,0.0,1.0,7.581705277247774,7.227709230386392,7.919894513380899,0.08831352,0.5,28
Both=1.0,1.0,1.0,7.581764635619357,7.229837447675606,7.918065449340775,0.07378884,0.5,28
Mono=0.1,0.0,0.1,7.583777062549603,7.229336122850689,7.922376429566645,0.08943738,0.5,28
Both=0.1,0.1,0.1,7.583835670224781,7.229518233209587,7.922322453778161,0.0874709,0.5,28
Coh=1.0,1.0,0.0,7.584050271869111,7.231457154701047,7.920963607554254,0.07481982,0.5,28
Mono=0.01,0.0,0.01,7.5850354144752075,7.225142100870452,7.928609342117664,0.101084724,0.5555555555555556,29
Both=0.01,0.01,0.01,7.585038661546701,7.225171377935411,7.9285888753156595,0.100838184,0.5555555555555556,29
Coh=0.1,0.1,0.0,7.585129089758028,7.225473438634733,7.9284866276087556,0.09868118,0.5555555555555556,29
Unconstrained,0.0,0.0,7.5851384866427045,7.225157468542005,7.928792548545362,0.10112339,0.5555555555555556,29
Coh=0.001,0.001,0.0,7.585138769852293,7.225160418170066,7.928790402548251,0.10109849,0.5555555555555556,29
Coh=0.01,0.01,0.0,7.585141928659425,7.225187082587303,7.9287721481593865,0.10087632,0.5555555555555556,29
