Country,Sex,e0(2020),Old Median(2050),New Median(2050),Old 95%CI Width,New 95%CI Width,CI Reduction
Switzerland,Male,80.26,82.01,82.04,7.73,3.77,51.3%
Switzerland,Female,83.58,86.04,85.99,7.88,3.15,60.0%
Sweden,Male,79.94,81.69,81.72,7.75,3.8,51.0%
Sweden,Female,82.93,85.55,85.49,8.35,3.4,59.2%
Norway,Male,80.57,82.25,82.28,7.42,3.64,51.0%
Norway,Female,83.27,85.79,85.73,8.04,3.27,59.3%
West Germany,Male,78.28,80.28,80.32,8.85,4.36,50.8%
West Germany,Female,82.2,85.06,84.99,9.13,3.71,59.3%
Netherlands,Male,79.14,80.99,81.02,8.21,4.03,51.0%
Netherlands,Female,81.96,84.89,84.82,9.35,3.81,59.2%
Japan,Male,80.44,82.16,82.19,7.62,3.74,51.0%
Japan,Female,84.89,86.94,86.9,6.57,2.6,60.4%
